clip_id,codec,language,family,pesq,stoi,si_sdr,mcd
hi_000,snac,hi,Indo-Aryan,1.9729912281036377,0.8223494254956452,2.039865553379059,1.9692099
hi_000,encodec,hi,Indo-Aryan,3.866804838180542,0.9633791085320683,13.98508906364441,1.9367666
hi_000,hifi_codec,hi,Indo-Aryan,2.056190013885498,0.8434012259863511,3.2835760712623596,1.5832349
hi_001,snac,hi,Indo-Aryan,1.8694722652435303,0.8146200527851768,-33.58970642089844,3.1844585
hi_001,encodec,hi,Indo-Aryan,3.9004695415496826,0.9784437542975716,14.548274278640747,6.417124
hi_001,hifi_codec,hi,Indo-Aryan,2.385826826095581,0.8842381408522524,-0.4126039892435074,2.9828486
hi_002,snac,hi,Indo-Aryan,1.9363391399383545,0.8549133755376044,-1.4229115843772888,2.8020594
hi_002,encodec,hi,Indo-Aryan,3.8398489952087402,0.9744596539971173,12.461670637130737,5.0358047
hi_002,hifi_codec,hi,Indo-Aryan,2.0722124576568604,0.8810061378901057,3.3025676012039185,3.369191
hi_003,snac,hi,Indo-Aryan,1.513702392578125,0.7771967825465904,-12.273474931716919,2.9869022
hi_003,encodec,hi,Indo-Aryan,3.702531576156616,0.9551951083922429,7.2527629137039185,6.1472144
hi_003,hifi_codec,hi,Indo-Aryan,1.6408896446228027,0.7994883673043199,-14.999167919158936,2.7050724
hi_004,snac,hi,Indo-Aryan,1.7150431871414185,0.8350143879405104,-1.6152803599834442,3.1527379
hi_004,encodec,hi,Indo-Aryan,3.705063581466675,0.9740187495584466,13.120216131210327,6.655548
hi_004,hifi_codec,hi,Indo-Aryan,2.217444896697998,0.8713493111005622,2.781303822994232,3.560264
hi_005,snac,hi,Indo-Aryan,1.441992163658142,0.862428902064771,-0.9658199548721313,2.8312953
hi_005,encodec,hi,Indo-Aryan,3.9700920581817627,0.9719063274345323,14.398388862609863,6.684611
hi_005,hifi_codec,hi,Indo-Aryan,2.0370497703552246,0.8577926356946299,1.0559868812561035,2.6504323
hi_006,snac,hi,Indo-Aryan,1.7868374586105347,0.8383130545614548,-5.79892635345459,2.9220226
hi_006,encodec,hi,Indo-Aryan,3.625011682510376,0.9798965049778866,12.80082106590271,5.7932553
hi_006,hifi_codec,hi,Indo-Aryan,2.289257764816284,0.8984412880575002,0.14212217181921005,3.0933373
hi_007,snac,hi,Indo-Aryan,1.765834927558899,0.8329519564366794,-10.34892201423645,2.7497628
hi_007,encodec,hi,Indo-Aryan,3.7967898845672607,0.9709731797627997,14.619038105010986,5.386608
hi_007,hifi_codec,hi,Indo-Aryan,2.055509090423584,0.8694082904666495,3.0444636940956116,3.1328375
hi_008,snac,hi,Indo-Aryan,1.5835411548614502,0.8520695084916653,-5.65304160118103,2.9644954
hi_008,encodec,hi,Indo-Aryan,3.5740292072296143,0.9817915019369527,13.258585929870605,5.721003
hi_008,hifi_codec,hi,Indo-Aryan,2.132646322250366,0.9007988795054527,0.8834715187549591,3.333453
hi_009,snac,hi,Indo-Aryan,1.8559153079986572,0.8275278728684186,-4.833263456821442,2.6924627
hi_009,encodec,hi,Indo-Aryan,3.838196277618408,0.9773450115913263,15.170364379882812,5.499243
hi_009,hifi_codec,hi,Indo-Aryan,2.253706216812134,0.8786757591030314,2.324712723493576,3.5346036
hi_010,snac,hi,Indo-Aryan,1.6719050407409668,0.8188562945722092,-4.556615352630615,2.8129928
hi_010,encodec,hi,Indo-Aryan,3.82474422454834,0.9724628149288815,16.761691570281982,6.0928288
hi_010,hifi_codec,hi,Indo-Aryan,2.2654662132263184,0.8622199568580594,3.6380037665367126,3.7797208
hi_011,snac,hi,Indo-Aryan,1.7661410570144653,0.8363622617678893,-6.621298789978027,2.6830337
hi_011,encodec,hi,Indo-Aryan,3.8711485862731934,0.9727718108463541,13.005650043487549,6.430842
hi_011,hifi_codec,hi,Indo-Aryan,1.9214856624603271,0.8723234351299172,1.2591110169887543,3.1231952
hi_012,snac,hi,Indo-Aryan,1.4923527240753174,0.8466679930191675,-11.470791101455688,2.083368
hi_012,encodec,hi,Indo-Aryan,4.045289993286133,0.9697427823259593,15.15278935432434,1.9027282
hi_012,hifi_codec,hi,Indo-Aryan,1.5496833324432373,0.8475953520156654,-27.896454334259033,1.5728761
hi_013,snac,hi,Indo-Aryan,1.9322102069854736,0.8254391844262746,-1.8870651721954346,2.5848007
hi_013,encodec,hi,Indo-Aryan,3.7295053005218506,0.9499810654880209,15.984511375427246,4.7302523
hi_013,hifi_codec,hi,Indo-Aryan,2.2981903553009033,0.8631804606485749,3.4754136204719543,3.334659
hi_014,snac,hi,Indo-Aryan,1.791893720626831,0.8107274061270086,-10.73249101638794,2.6843994
hi_014,encodec,hi,Indo-Aryan,3.7893943786621094,0.9682875457890741,15.828531980514526,4.8471303
hi_014,hifi_codec,hi,Indo-Aryan,2.022989511489868,0.8598464831013214,2.7403870224952698,3.3095043
hi_015,snac,hi,Indo-Aryan,1.880770206451416,0.773839897224118,-3.823751211166382,2.7749536
hi_015,encodec,hi,Indo-Aryan,3.8244190216064453,0.9623254977317641,11.553773880004883,4.605224
hi_015,hifi_codec,hi,Indo-Aryan,1.8133914470672607,0.7821064909874018,0.15527588315308094,3.6081438
hi_016,snac,hi,Indo-Aryan,1.8397510051727295,0.8321873045744269,-3.4944194555282593,3.0827503
hi_016,encodec,hi,Indo-Aryan,3.5658488273620605,0.9713516583224525,13.562766313552856,5.8641744
hi_016,hifi_codec,hi,Indo-Aryan,2.2057347297668457,0.8760057712576932,3.1155338883399963,3.817073
