class,encodec,hifi_codec,snac
aspirated,3.3128511905670166,1.6616328954696655,1.4565075635910034
consonant,2.34705636867388,1.4326425415324413,1.4540800114316264
retroflex,1.2274322509765625,1.2535209655761719,1.0219389200210571
vowel,2.1191257327160935,1.4818791265183306,1.533488003497428
